make,model,year,mileage,used,type,color,drive,class,price
Bugatti,Chiron,2019,1200,true,Coupe,Blue,Gas,Luxury,3100000
Rolls-Royce,Ghost,2026,0,false,Sedan,Black,Gas,Luxury,355000
Bentley,Continental,2022,9000,true,Coupe,Silver,Gas,Luxury,205000
Maserati,Ghibli,2026,0,false,Sedan,White,Gas,Luxury,86000
Alfa Romeo,Giulia,2022,15000,true,Sedan,Red,Gas,Standard,28000
Genesis,G80,2026,0,false,Sedan,Grey,Gas,Luxury,58500
Infiniti,QX60,2022,24000,true,SUV,White,Gas,Luxury,35000
Acura,MDX,2026,0,false,SUV,Grey,Gas,Luxury,52500
Lincoln,Navigator,2022,19500,true,SUV,Black,Gas,Luxury,61500
Cadillac,CT5,2026,0,false,Sedan,Blue,Gas,Luxury,48500
Dodge,Challenger,2020,35000,true,Coupe,Orange,Gas,Standard,23500
Chevrolet,Camaro,2022,12000,true,Coupe,Black,Gas,Standard,29500
Ford,Bronco,2026,0,false,SUV,Grey,Gas,Standard,40000
Toyota,Tacoma,2021,38000,true,Truck,Green,Gas,Standard,30500
Honda,Pilot,2026,0,false,SUV,Silver,Gas,Standard,42000
Nissan,Pathfinder,2023,15000,true,SUV,Black,Gas,Standard,32500
Subaru,Forester,2026,0,false,SUV,Blue,Gas,Standard,31500
Mazda,MX-5 Miata,2021,9500,true,Convertible,White,Gas,Standard,24500
Volkswagen,Tiguan,2026,0,false,SUV,Grey,Gas,Standard,29500
BMW,X5,2024,6000,true,SUV,Black,Gas,Luxury,61000
Mercedes-Benz,C-Class,2026,0,false,Sedan,Silver,Gas,Luxury,48500
Audi,A4,2022,19000,true,Sedan,White,Gas,Luxury,27500
Tesla,Model S,2026,0,false,Sedan,Red,Electric,Luxury,84000
Porsche,Cayenne,2023,13500,true,SUV,White,Gas,Luxury,78000
Land Rover,Range Rover,2026,0,false,SUV,Gold,Gas,Luxury,108000
Volvo,XC60,2022,25000,true,SUV,Silver,Gas,Luxury,34500
Lexus,IS 350,2026,0,false,Sedan,Grey,Gas,Luxury,45500
Toyota,Camry,2025,12000,true,Sedan,Grey,Gas,Standard,26500
Honda,Civic Type R,2026,0,false,Hatchback,White,Gas,Standard,45500
Ford,Maverick,2023,18000,true,Truck,Blue,Gas,Standard,24000
Hyundai,Tucson,2026,0,false,SUV,White,Gas,Standard,28500
Kia,Sportage,2024,9000,true,SUV,Black,Gas,Standard,25500
Nissan,Sentra,2026,0,false,Sedan,Blue,Gas,Economy,21500
Chevrolet,Malibu,2020,52000,true,Sedan,Silver,Gas,Standard,13500
Buick,Enclave,2026,0,false,SUV,White,Gas,Standard,46500
GMC,Yukon,2023,16000,true,SUV,Black,Gas,Standard,61000
Jeep,Cherokee,2026,0,false,SUV,Grey,Gas,Standard,31000
Toyota,Supra,2022,8000,true,Coupe,Yellow,Gas,Standard,48500
Nissan,Z,2026,0,false,Coupe,Blue,Gas,Standard,43500
BMW,Z4,2021,14000,true,Convertible,Red,Gas,Luxury,40500
Audi,Q7,2026,0,false,SUV,Black,Gas,Luxury,61500
Mercedes-Benz,GLA,2021,31000,true,SUV,White,Gas,Luxury,25000
Tesla,Cybertruck,2026,0,false,Truck,Silver,Electric,Standard,79000
Rivian,R1T,2023,12000,true,Truck,Blue,Electric,Standard,64000
Lucid,Air,2026,0,false,Sedan,White,Electric,Luxury,72000
Polestar,2,2022,19000,true,Hatchback,Blue,Electric,Standard,30500
Ford,Mustang Mach-E,2026,0,false,SUV,Red,Electric,Standard,45000
BMW,i4,2022,8000,true,Sedan,Black,Electric,Luxury,38500
BMW,M3,2010,30000,true,coupe,White,Gas,Luxury,45000
Tesla,Model Y,2023,15000,true,SUV,Red,Electric,Standard,33500
Toyota,Highlander,2021,60000,true,SUV,Grey,Gas,Standard,27500
